slo_id,table_name,table_type
slo_marketplace_overview,models.istaff_pivot_gmv,bq
slo_marketplace_overview,models.jm_business_review_orders,bq
slo_marketplace_overview,models.jm_business_review_delivery_duration,bq
slo_marketplace_overview,models.jm_business_review_delivery_stages,bq
slo_analytics_base_tables,gold.active_devices,bq
slo_analytics_base_tables,gold.active_users,bq
slo_analytics_base_tables,gold.merchant_categories,bq
slo_analytics_base_tables,gold.orders,bq
slo_analytics_base_tables,gold.products,bq
slo_analytics_base_tables,gold.referral_orders,bq
slo_analytics_base_tables,models.active_devices,bq
slo_analytics_base_tables,models.active_devices_extended,bq
slo_analytics_base_tables,models.active_users,bq
slo_analytics_base_tables,models.categories,bq
slo_analytics_base_tables,models.orders,bq
slo_analytics_base_tables,models.device_interactions,bq
slo_logistics_overview,jl_models.overview_report_delivery_duration,bq
slo_logistics_overview,jl_models.overview_report_buying_users,bq
slo_logistics_base_tables,jl_models.jl_external_clients_orders,bq
slo_pro_overview,b2b_mart.jp_overview_report_funnel,bq
slo_pro_overview,b2b_mart.jp_quarter_conversion,bq
slo_pro_base_tables,models.user_request_order,bq
slo_joompay_overview,models.joompay_overview_report_metrics,bq
slo_onfy_overview,models.onfy_delivery_duration,bq
slo_onfy_base_tables,models.onfy_orders,bq
slo_onfy_base_tables,models.onfy_devices,bq
