"points_group","points_type"
"Compensation","adminCompensation"
"Compensation","staffEnrollment"
"Marketing","cashback"
"Marketing","favoriteCategoryCashback"
"Marketing","personalGoals"
"Marketing","web2AppCashback"
"Marketing","admin_bloggers"
"Marketing","referralUserInvited"
"Marketing","referralUserReferrer"
"Marketing","revenueShareExternalLink"
"Marketing","revenueShareSocial"
"Marketing","revenueShareProductCollection"
"Marketing","reward"
"Marketing","referral"
"Marketing","newUser"
"Marketing","socialSignIn"
"Marketing","dailyLogin"
"Marketing","initial"
"Marketing","crowdSource"
"Marketing","adminRefund"
"Marketing","freeOrder"
"Marketing","adminOther"
"Marketing","admin"
"Marketing","firstOrderCashback"
"Marketing","adminBloggerReward"
"Refund","refund"
"Refund","customUserRefund"
"Refund","admin_refunds"
"Refund","refundNotDelivered"
"Refund","deliveryMethodChanged"
"Technical","migration"
"Technical","migrationGift"
"Technical","finalize"
"Technical","testing"
"Technical","adminTesting"
